Protein	Protein ID	Entry Name	Gene Names	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	RMAHA1 Spectral Count	RMAHA2 Spectral Count	RMAHA3 Spectral Count	RMAHA1 Unique Spectral Count	RMAHA2 Unique Spectral Count	RMAHA3 Unique Spectral Count	RMAHA1 Total Spectral Count	RMAHA2 Total Spectral Count	RMAHA3 Total Spectral Count	RMAHA1 Intensity	RMAHA2 Intensity	RMAHA3 Intensity	RMAHA1 MaxLFQ Intensity	RMAHA2 MaxLFQ Intensity	RMAHA3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P29692|EF1D_HUMAN	P29692	EF1D_HUMAN	EEF1D	281	Homo sapiens OX=9606	1:Experimental evidence at protein level	Elongation factor 1-delta	1	0.999	10	14	0	14	11	1	2	0	0	0	11	1	2	2.25E+08	1.46E+08	1.64E+08	6.43E+07	5.72E+07	7.68E+07	tr|E9PK01|E9PK01_HUMAN
sp|P30038|AL4A1_HUMAN	P30038	AL4A1_HUMAN	ALDH4A1	563	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial"	1	0.9976	3	3	3	3	3	0	0	3	0	0	3	0	0	2.49E+07	2.39E+07	7637694	1.17E+07	1.09E+07	0	
sp|P30040|ERP29_HUMAN	P30040	ERP29_HUMAN	ERP29	261	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endoplasmic reticulum resident protein 29	1	0.9987	3	3	1	3	3	0	0	1	0	0	3	0	0	3.25E+07	1.17E+07	1.17E+07	0	0	0	
sp|P30041|PRDX6_HUMAN	P30041	PRDX6_HUMAN	PRDX6	224	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peroxiredoxin-6	1	0.999	10	17	17	17	12	2	3	12	2	3	12	2	3	2.61E+08	2.45E+08	2.30E+08	1.16E+08	1.18E+08	1.08E+08	
sp|P30043|BLVRB_HUMAN	P30043	BLVRB_HUMAN	BLVRB	206	Homo sapiens OX=9606	1:Experimental evidence at protein level	Flavin reductase (NADPH)	1	0.9986	4	4	0	4	4	0	0	0	0	0	4	0	0	8.86E+07	2.68E+07	3.89E+07	2.98E+07	2.54E+07	2.57E+07	
sp|P30044|PRDX5_HUMAN	P30044	PRDX5_HUMAN	PRDX5	214	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Peroxiredoxin-5, mitochondrial"	1	0.999	8	13	13	13	8	2	3	8	2	3	8	2	3	2.22E+08	1.01E+08	1.60E+08	6.01E+07	5.32E+07	5.15E+07	
sp|P30048|PRDX3_HUMAN	P30048	PRDX3_HUMAN	PRDX3	256	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Thioredoxin-dependent peroxide reductase, mitochondrial"	1	0.9971	3	3	3	3	3	0	0	3	0	0	3	0	0	1.95E+07	2.18E+07	1.86E+07	1.75E+07	1.75E+07	1.60E+07	
sp|P30050|RL12_HUMAN	P30050	RL12_HUMAN	RPL12	165	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L12	1	0.9989	4	10	10	10	3	2	5	3	2	5	3	2	5	2.48E+08	2.10E+08	1.74E+08	1.21E+08	1.01E+08	9.06E+07	
sp|P30084|ECHM_HUMAN	P30084	ECHM_HUMAN	ECHS1	290	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Enoyl-CoA hydratase, mitochondrial"	0.9999	0.999	1	1	1	1	1	0	0	1	0	0	1	0	0	6530891	8051848	8915535	0	0	0	
sp|P30085|KCY_HUMAN	P30085	KCY_HUMAN	CMPK1	196	Homo sapiens OX=9606	1:Experimental evidence at protein level	UMP-CMP kinase	1	0.999	7	10	0	10	7	1	2	0	0	0	7	1	2	9.25E+07	9588905	5.67E+07	2.77E+07	1.36E+07	2.53E+07	
sp|P30086|PEBP1_HUMAN	P30086	PEBP1_HUMAN	PEBP1	187	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphatidylethanolamine-binding protein 1	1	0.999	6	11	11	11	7	2	2	7	2	2	7	2	2	1.31E+08	8.53E+07	1.41E+08	4.71E+07	3.60E+07	5.50E+07	
sp|P30101|PDIA3_HUMAN	P30101	PDIA3_HUMAN	PDIA3	505	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein disulfide-isomerase A3	1	0.999	15	30	0	30	16	8	6	0	0	0	16	8	6	5.22E+08	3.92E+08	3.70E+08	6.91E+07	5.47E+07	5.10E+07	"tr|A0A8I5KNU9|A0A8I5KNU9_HUMAN, tr|A0A8I5KT88|A0A8I5KT88_HUMAN"
sp|P30153|2AAA_HUMAN	P30153	2AAA_HUMAN	PPP2R1A	589	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	1	0.999	12	17	0	17	12	2	3	0	0	0	12	2	3	3.02E+08	2.03E+08	1.93E+08	5.06E+07	4.93E+07	4.56E+07	
sp|P30405|PPIF_HUMAN	P30405	PPIF_HUMAN	PPIF	207	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"	1	0.9849	3	3	1	3	3	0	0	1	0	0	3	0	0	5.04E+07	5.56E+07	4.23E+07	3.39E+07	4.21E+07	3.39E+07	
sp|P30519|HMOX2_HUMAN	P30519	HMOX2_HUMAN	HMOX2	316	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heme oxygenase 2	1	0.999	4	5	0	5	5	0	0	0	0	0	5	0	0	4.37E+07	2.11E+07	3.40E+07	1.13E+07	1.14E+07	1.03E+07	"tr|A0A087WT44|A0A087WT44_HUMAN, tr|I3L159|I3L159_HUMAN, tr|I3L1F5|I3L1F5_HUMAN"
sp|P30622|CLIP1_HUMAN	P30622	CLIP1_HUMAN	CLIP1	1438	Homo sapiens OX=9606	1:Experimental evidence at protein level	CAP-Gly domain-containing linker protein 1	1	0.999	8	8	0	8	8	0	0	0	0	0	8	0	0	3.47E+07	2.04E+07	2.94E+07	8954554	9347991	9080734	tr|J3KP58|J3KP58_HUMAN
sp|P30626|SORCN_HUMAN	P30626	SORCN_HUMAN	SRI	198	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sorcin	1	0.994	2	2	0	2	2	0	0	0	0	0	2	0	0	7949912	6306375	1336873.8	4615234.5	3850285.8	0	tr|C9J0K6|C9J0K6_HUMAN
sp|P30679|GNA15_HUMAN	P30679	GNA15_HUMAN	GNA15	374	Homo sapiens OX=9606	1:Experimental evidence at protein level	Guanine nucleotide-binding protein subunit alpha-15	0.9142	0.9867	1	1	1	1	1	0	0	1	0	0	1	0	0	1031116.2	1652726.5	3213289.5	0	0	0	
sp|P30740|ILEU_HUMAN	P30740	ILEU_HUMAN	SERPINB1	379	Homo sapiens OX=9606	1:Experimental evidence at protein level	Leukocyte elastase inhibitor	1	0.999	28	51	48	51	27	11	13	26	10	12	27	11	13	2.27E+09	1.98E+09	1.73E+09	5.25E+08	4.61E+08	4.05E+08	
sp|P30838|AL3A1_HUMAN	P30838	AL3A1_HUMAN	ALDH3A1	453	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Aldehyde dehydrogenase, dimeric NADP-preferring"	1	0.999	12	17	0	17	13	1	3	0	0	0	13	1	3	5.44E+08	4.16E+08	3.61E+08	1.66E+08	1.67E+08	1.43E+08	
sp|P31025|LCN1_HUMAN	P31025	LCN1_HUMAN	LCN1	176	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lipocalin-1	1	0.999	8	13	9	13	7	2	4	5	1	3	7	2	4	2.77E+08	2.77E+08	6.99E+08	1.12E+08	1.56E+08	3.86E+08	
sp|P31151|S10A7_HUMAN	P31151	S10A7_HUMAN	S100A7	101	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein S100-A7	1	0.9988	5	20	16	20	10	5	5	8	4	4	10	5	5	1.92E+08	3.74E+08	5.38E+08	5.16E+07	8.10E+07	1.23E+08	
sp|P31483|TIA1_HUMAN	P31483	TIA1_HUMAN	TIA1	386	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytotoxic granule associated RNA binding protein TIA1	0.9191	0.9876	1	1	0	1	1	0	0	0	0	0	1	0	0	823279.25	0	1367843.1	0	0	0	"sp|Q01085|TIAR_HUMAN, tr|C9JTN7|C9JTN7_HUMAN, tr|F8W8I6|F8W8I6_HUMAN, tr|F8WE16|F8WE16_HUMAN"
sp|P31689|DNJA1_HUMAN	P31689	DNJA1_HUMAN	DNAJA1	397	Homo sapiens OX=9606	1:Experimental evidence at protein level	DnaJ homolog subfamily A member 1	0.9747	0.9963	1	1	1	1	1	0	0	1	0	0	1	0	0	4356783	7183535	6399374	0	0	0	
sp|P31930|QCR1_HUMAN	P31930	QCR1_HUMAN	UQCRC1	480	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Cytochrome b-c1 complex subunit 1, mitochondrial"	1	0.999	6	6	6	6	6	0	0	6	0	0	6	0	0	7.93E+07	3.80E+07	3.77E+07	1.85E+07	1.91E+07	1.75E+07	
sp|P31939|PUR9_HUMAN	P31939	PUR9_HUMAN	ATIC	592	Homo sapiens OX=9606	1:Experimental evidence at protein level	Bifunctional purine biosynthesis protein ATIC	1	0.999	5	6	1	6	5	0	1	1	0	0	5	0	1	5.85E+07	1.30E+07	1.81E+07	1.12E+07	9961460	9418154	
sp|P31942|HNRH3_HUMAN	P31942	HNRH3_HUMAN	HNRNPH3	346	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein H3	1	0.999	1	1	1	1	1	0	0	1	0	0	1	0	0	6450576	0	0	0	0	0	
sp|P31943|HNRH1_HUMAN	P31943	HNRH1_HUMAN	HNRNPH1	449	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein H	1	0.999	6	10	0	10	6	2	2	0	0	0	6	2	2	7.64E+07	7.46E+07	6.68E+07	3.02E+07	2.98E+07	2.76E+07	tr|G8JLB6|G8JLB6_HUMAN
sp|P31944|CASPE_HUMAN	P31944	CASPE_HUMAN	CASP14	242	Homo sapiens OX=9606	1:Experimental evidence at protein level	Caspase-14	1	0.999	19	38	38	38	23	5	10	23	5	10	23	5	10	1.04E+09	1.27E+09	2.12E+09	2.05E+08	3.01E+08	4.23E+08	
sp|P31946|1433B_HUMAN	P31946	1433B_HUMAN	YWHAB	246	Homo sapiens OX=9606	1:Experimental evidence at protein level	14-3-3 protein beta/alpha	1	0.999	19	16	5	24	13	1	2	4	0	1	19	2	3	4.23E+08	3.00E+08	2.93E+08	1.41E+08	1.13E+08	1.09E+08	
sp|P31947|1433S_HUMAN	P31947	1433S_HUMAN	SFN	248	Homo sapiens OX=9606	1:Experimental evidence at protein level	14-3-3 protein sigma	1	0.999	23	56	50	56	37	9	10	33	8	9	37	9	10	4.60E+09	3.57E+09	3.02E+09	1.21E+09	1.01E+09	7.56E+08	
sp|P31948|STIP1_HUMAN	P31948	STIP1_HUMAN	STIP1	543	Homo sapiens OX=9606	1:Experimental evidence at protein level	Stress-induced-phosphoprotein 1	1	0.9988	3	4	1	4	3	1	0	1	0	0	3	1	0	3.14E+07	2.43E+07	2.36E+07	0	0	0	
sp|P31949|S10AB_HUMAN	P31949	S10AB_HUMAN	S100A11	105	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein S100-A11	1	0.999	5	11	11	11	7	1	3	7	1	3	7	1	3	1.75E+08	3.26E+08	2.74E+08	1.06E+08	1.13E+08	1.27E+08	
sp|P32119|PRDX2_HUMAN	P32119	PRDX2_HUMAN	PRDX2	198	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peroxiredoxin-2	1	0.999	12	25	12	29	10	7	8	4	4	4	11	8	10	8.91E+08	1.10E+09	1.29E+09	1.95E+08	2.70E+08	2.96E+08	
sp|P32320|CDD_HUMAN	P32320	CDD_HUMAN	CDA	146	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytidine deaminase	0.9637	0.9946	1	1	1	1	1	0	0	1	0	0	1	0	0	5.09E+07	3.36E+07	5.38E+07	0	0	0	
sp|P32455|GBP1_HUMAN	P32455	GBP1_HUMAN	GBP1	592	Homo sapiens OX=9606	1:Experimental evidence at protein level	Guanylate-binding protein 1	0.8725	0.9795	1	1	0	1	1	0	0	0	0	0	1	0	0	3368507.5	3302643.8	0	0	0	0	sp|P32456|GBP2_HUMAN
sp|P32926|DSG3_HUMAN	P32926	DSG3_HUMAN	DSG3	999	Homo sapiens OX=9606	1:Experimental evidence at protein level	Desmoglein-3	1	0.999	14	18	18	18	15	1	2	15	1	2	15	1	2	2.92E+08	2.00E+08	1.56E+08	5.60E+07	6.15E+07	5.21E+07	
sp|P32969|RL9_HUMAN	P32969	RL9_HUMAN	RPL9P9	192	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L9	1	0.999	8	11	0	11	8	1	2	0	0	0	8	1	2	1.40E+08	9.88E+07	1.07E+08	3.78E+07	2.74E+07	2.70E+07	
sp|P33176|KINH_HUMAN	P33176	KINH_HUMAN	KIF5B	963	Homo sapiens OX=9606	1:Experimental evidence at protein level	Kinesin-1 heavy chain	1	0.9987	1	1	0	1	1	0	0	0	0	0	1	0	0	5443228	6226875.5	0	0	0	0	
sp|P34096|RNAS4_HUMAN	P34096	RNAS4_HUMAN	RNASE4	147	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribonuclease 4	1	0.9989	2	2	2	2	2	0	0	2	0	0	2	0	0	7.18E+07	6.41E+07	5.51E+07	0	0	0	
sp|P34896|GLYC_HUMAN	P34896	GLYC_HUMAN	SHMT1	483	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Serine hydroxymethyltransferase, cytosolic"	1	0.9974	3	3	1	3	3	0	0	1	0	0	3	0	0	2.25E+07	9473072	1.47E+07	0	0	0	
sp|P34913|HYES_HUMAN	P34913	HYES_HUMAN	EPHX2	555	Homo sapiens OX=9606	1:Experimental evidence at protein level	Bifunctional epoxide hydrolase 2	1	0.999	2	2	0	2	2	0	0	0	0	0	2	0	0	1.11E+07	1.26E+07	1.11E+07	8726854	1.04E+07	9269007	
sp|P34932|HSP74_HUMAN	P34932	HSP74_HUMAN	HSPA4	840	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heat shock 70 kDa protein 4	1	0.9969	7	7	7	7	7	0	0	7	0	0	7	0	0	4.32E+07	4.12E+07	2.93E+07	1.95E+07	1.96E+07	1.35E+07	
sp|P35030|TRY3_HUMAN	P35030	TRY3_HUMAN	PRSS3	304	Homo sapiens OX=9606	1:Experimental evidence at protein level	Trypsin-3	0.9823	0.9974	1	1	0	1	1	0	0	0	0	0	1	0	0	1.61E+09	5.44E+09	4.95E+09	0	0	0	tr|A0A7P0MNE9|A0A7P0MNE9_HUMAN
sp|P35221|CTNA1_HUMAN	P35221	CTNA1_HUMAN	CTNNA1	906	Homo sapiens OX=9606	1:Experimental evidence at protein level	Catenin alpha-1	1	0.999	15	16	0	16	15	0	1	0	0	0	15	0	1	2.66E+08	1.78E+08	1.42E+08	3.37E+07	2.73E+07	2.64E+07	
sp|P35222|CTNB1_HUMAN	P35222	CTNB1_HUMAN	CTNNB1	781	Homo sapiens OX=9606	1:Experimental evidence at protein level	Catenin beta-1	1	0.9989	8	12	0	14	9	2	1	0	0	0	9	3	2	1.09E+08	5.62E+07	6.18E+07	3.87E+07	2.81E+07	3.21E+07	"tr|A0A2R8Y543|A0A2R8Y543_HUMAN, tr|A0A2R8Y5A3|A0A2R8Y5A3_HUMAN, tr|A0A2R8Y5Z1|A0A2R8Y5Z1_HUMAN, tr|A0A2R8Y7Z0|A0A2R8Y7Z0_HUMAN, tr|A0A2R8Y804|A0A2R8Y804_HUMAN, tr|A0A2R8YCH5|A0A2R8YCH5_HUMAN, tr|B4DGU4|B4DGU4_HUMAN"
sp|P35232|PHB1_HUMAN	P35232	PHB1_HUMAN	PHB1	272	Homo sapiens OX=9606	1:Experimental evidence at protein level	Prohibitin 1	1	0.999	11	15	0	15	12	1	2	0	0	0	12	1	2	9.97E+07	7.39E+07	8.02E+07	2.55E+07	2.55E+07	2.52E+07	
sp|P35237|SPB6_HUMAN	P35237	SPB6_HUMAN	SERPINB6	376	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serpin B6	1	0.9989	6	10	0	10	8	1	1	0	0	0	8	1	1	7.85E+07	2.84E+07	2.96E+07	2.50E+07	2.29E+07	2.93E+07	"tr|A0A024QZX5|A0A024QZX5_HUMAN, tr|A0A087X1N8|A0A087X1N8_HUMAN"
sp|P35268|RL22_HUMAN	P35268	RL22_HUMAN	RPL22	128	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L22	1	0.9982	4	6	0	6	4	1	1	0	0	0	4	1	1	1.18E+08	1.16E+08	1.22E+08	5.76E+07	5.55E+07	6.00E+07	"tr|K7EMH1|K7EMH1_HUMAN, tr|K7ERI7|K7ERI7_HUMAN"
sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Keratin, type I cytoskeletal 9"	1	0.999	61	390	5	390	224	87	79	2	2	1	224	87	79	7.73E+10	3.04E+11	2.54E+11	1.41E+10	3.68E+10	3.14E+10	
sp|P35573|GDE_HUMAN	P35573	GDE_HUMAN	AGL	1532	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycogen debranching enzyme	1	0.9952	2	2	2	2	2	0	0	2	0	0	2	0	0	4701544	2836579.5	4109015.2	3032268.2	0	2429797.8	
sp|P35579|MYH9_HUMAN	P35579	MYH9_HUMAN	MYH9	1960	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myosin-9	1	0.999	68	100	0	100	77	9	14	0	0	0	77	9	14	1.37E+09	1.16E+09	1.29E+09	9.37E+07	9.72E+07	1.09E+08	tr|A0A8I5KWT8|A0A8I5KWT8_HUMAN
sp|P35606|COPB2_HUMAN	P35606	COPB2_HUMAN	COPB2	906	Homo sapiens OX=9606	1:Experimental evidence at protein level	Coatomer subunit beta'	1	0.999	6	6	0	6	6	0	0	0	0	0	6	0	0	4.78E+07	3.25E+07	4.81E+07	1.63E+07	1.66E+07	1.39E+07	"tr|A0A7I2V258|A0A7I2V258_HUMAN, tr|H0Y938|H0Y938_HUMAN, tr|H0YAC7|H0YAC7_HUMAN"
sp|P35637|FUS_HUMAN	P35637	FUS_HUMAN	FUS	526	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-binding protein FUS	0.9867	0.9981	1	1	0	1	1	0	0	0	0	0	1	0	0	8606680	0	1.36E+07	0	0	0	tr|H3BPE7|H3BPE7_HUMAN
sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Keratin, type II cytoskeletal 2 epidermal"	1	0.999	79	279	13	298	142	70	67	7	4	2	153	74	71	1.15E+11	2.51E+11	2.36E+11	2.00E+10	4.93E+10	4.85E+10	
sp|P35998|PRS7_HUMAN	P35998	PRS7_HUMAN	PSMC2	433	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome regulatory subunit 7	1	0.9989	3	4	0	4	2	1	1	0	0	0	2	1	1	0	9508594	0	0	0	0	tr|C9JX88|C9JX88_HUMAN
sp|P36507|MP2K2_HUMAN	P36507	MP2K2_HUMAN	MAP2K2	400	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dual specificity mitogen-activated protein kinase kinase 2	1	0.996	1	1	1	1	1	0	0	1	0	0	1	0	0	2109883.8	0	0	0	0	0	
sp|P36542|ATPG_HUMAN	P36542	ATPG_HUMAN	ATP5F1C	298	Homo sapiens OX=9606	1:Experimental evidence at protein level	"ATP synthase subunit gamma, mitochondrial"	1	0.9988	4	5	5	5	4	0	1	4	0	1	4	0	1	3.80E+07	2.75E+07	2.96E+07	2.39E+07	1.81E+07	2.63E+07	
sp|P36543|VATE1_HUMAN	P36543	VATE1_HUMAN	ATP6V1E1	226	Homo sapiens OX=9606	1:Experimental evidence at protein level	V-type proton ATPase subunit E 1	1	0.999	2	2	0	2	2	0	0	0	0	0	2	0	0	1.59E+07	6078999.5	9011734	0	0	0	tr|C9J8H1|C9J8H1_HUMAN
sp|P36578|RL4_HUMAN	P36578	RL4_HUMAN	RPL4	427	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L4	1	0.999	10	14	0	14	11	3	0	0	0	0	11	3	0	1.43E+08	1.26E+08	1.29E+08	3.15E+07	2.88E+07	3.29E+07	
sp|P36871|PGM1_HUMAN	P36871	PGM1_HUMAN	PGM1	562	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphoglucomutase-1	0.9929	0.999	1	1	0	1	1	0	0	0	0	0	1	0	0	2000677.8	0	2418105	0	0	0	tr|A0A3B3ITK7|A0A3B3ITK7_HUMAN
sp|P36952|SPB5_HUMAN	P36952	SPB5_HUMAN	SERPINB5	375	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serpin B5	1	0.999	11	23	17	23	13	5	5	8	4	5	13	5	5	4.72E+08	4.82E+08	3.95E+08	1.21E+08	1.01E+08	9.97E+07	
sp|P36957|ODO2_HUMAN	P36957	ODO2_HUMAN	DLST	453	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial"	1	0.999	4	4	1	4	4	0	0	1	0	0	4	0	0	6.64E+07	5.77E+07	6.11E+07	2.10E+07	2.93E+07	2.07E+07	
